discountID,code,type
eCoI3194-JUioYo,PQHK6029-OeCDgf,percentage
lHkm1560-nHFEBN,qZcG8367-vbJBMm,percentage
IdSN6358-VQQZMJ,YZQv3960-qvjPKH,percentage
GuFu5065-qKdvFA,EXbG5284-CnSGUW,percentage
SLbh7155-VDITJl,whCH5927-kfpITA,percentage
XpHd2568-rJBNYt,FUFz6822-qZstuI,percentage
hDYT2908-cajZzZ,nvga1368-VLpHHd,percentage
skcI9419-ZMvMSp,TDNs8590-lCYeaB,percentage
xMhZ1438-dVcIQU,TkBz5010-aTiuJW,percentage
EjAJ1770-eIlEYn,OXBf2697-jxdqgu,percentage
RJwu8231-CSIXCp,qzhe8580-fSptzR,percentage
Jsab5262-TXGWHp,USlb8837-vHlJhp,percentage
SdHa8373-dcpapd,YPTT0454-GFnZWO,percentage
uFxA8005-YlrEaF,VPle8983-cLIshi,percentage
PRWG7263-HrsdDZ,qlQd3526-GDgkNj,percentage
CyVr2006-uqHRrd,OHTg1930-ntaLpb,percentage
PHiY5072-oFPnzZ,AcgK7655-gjdaFQ,percentage
bvip8426-KtRdnA,HrHv1855-vyPoHe,percentage
Ytyf5568-tWksBd,pokB5035-yYaNuM,percentage
Htdb0544-RPIbkI,HpKo0450-dLJJdf,percentage
Wzhh1405-tZDzdB,LBGi5732-dAocPd,percentage
KyhO7656-PjdMls,vmmT2007-ToLBRX,percentage
WMMk0131-azpFSt,YNaX2833-oJsAEm,percentage
JGzB8368-SoRxcG,NmKB5611-APIiBo,percentage
yKGq8015-ziamha,RKrT1068-BSBHwY,percentage
EuAD6763-BHlzKg,zEHi7344-txknHY,percentage
nDmu3863-HCirbp,sJvu2204-muxvom,percentage
ZMuv9092-PRsRAO,oNAr3773-DUNxUV,percentage
KWeR9450-GEpyGa,oeOq2680-IEtHme,percentage
yFFZ2249-zpGUxO,FyEj5803-lTSKIm,percentage
tbEp6370-RbJeJp,PHoT5433-oHZEwg,percentage
lFRV6886-pldaBY,uDhx1450-aUYxid,percentage
Fmxf4329-iRyhjN,ueLD1980-JxHlFo,percentage
VmHy9811-uZnZsj,Iodq5228-AETCse,percentage
